id,text,label
1217017577190449152,suriyeli çetelerin evlilik vaadiyle kandırıp binlerce tl dolandırılan cahillere zerre kadar üzülmüyorum ...türkiye'de kadın kalmadı de mi? beter olun... 15 ocak çarşamba,1
1224298178708672512,emevi camii'ne gitmek için yola çıkıp 4 milyon suriyeliyi alıp geri gelen birinin dış politikada atacağı her adım külliyen zarardır,0
1425428491592478724,"@@user ne kadar sığınmacı varsa istisnasız sınır dışı edilmeli ve ülkemiz bunlardan temizlenmelidir. ne tedirginlikler ne göç politikası hakkında bilinçlendirilmeye ihtiyacımız yok, biz her şeyin farkındayız.",0
1299023265881620481,"bir çocuğa anne baba ne öğretir ise çocuk onu öğrenir! belki haddim değildi ama az önce birkaç çocuğa hayli kızıp bağırdım.10-12 yaşında çocuk elinde telefon ile komşumuz olan üç tane suriyeli çocuğa""bak polisi arıyorum gelip şimdi sizi götürecek savaşa""diye bağırıp korkutuyor.",0
1321662350185869312,"@@user türkiye de açsın kapıları, yollasın suriyelileri.. gerçi geçende de yapıyordu, başımıza kaldılar yine. bir de corona çıktı anında  bu sefer ne olur acaba?",0
1420862726914646022,@@user @@user ülkeye milyonlarca ne üydüğü belirsiz suriyeli yüzbinlerce afgan militan girerken de senin gibi örümcek beyinlilerin sesi çıkmıyo.,0
1415622776841441287,"suriyeli sığınmacıları bu hale sokan ne yazık ki akp’nin rezil dış politika anlayışıdır. suriye’de sdg ile işbirliği yapsaydık, onları destekleseydik ne vahşet yaşanırdı, ne de insanlar yerinden yurdundan olurdu!",0
1306083954458611714,"@@user alanya'da çok alman ve rus var,bodrum keza öyle,marmaris ve kuş adası ingiliz ve italyandan geçilmiyor. eliniz değmişken onlarıda temizleyin. ama yooook varsa yoksa suriyeli.",0
1425470590794797067,@@user evet suleyman soylu 1 milyon sehit verdı dedıgın surıyeli senın vatandasını katletti bu ailenin feryadını duy an mı,0
1385345031318523907,@@user 20 yıl oy verdim ailemle 15 temmuzda sokaklrdaydik artık emeklinin sesini duyun duyun gecinemiuozz 10 yıldır suriyelilere harcanan para yeter adamlar burda keyif catiyor bizden rahatlar,0
1381871468988993537,"la ak turizmciler, rusya haziran’a kadar turist göndermeyecek diye üzüleceğinize suriyelileri otellerinize çekmek için bazı kampanyalar başlatın.",0
1291480987700998145,"@@user haha işte bende de aynısı oluyor, kürt demiyor, suriyeli, ıraklı, bazen türkmen, bazen iranlı diyorlar.",0
1433398939735179269,@@user nevşin hanım numaramı da verseydiniz. yabancı düşmanıyız afganları suriyelileri istemiyoruz. diğer avrupa ülkeleri bu insanlara baksınlar. ne güzel yabancı düşmanı politikalar gütsün bu ülkeler. sonra türkler yabancı istemiyoruz deyince gazetecileri bizi bağnaz ilan etsin.,0
1284900058631221249,@@user vasili farz-ı muhal esad o ya da bu şekilde indirildi. sonu ne olur ? yakın dönemde indirilipte yaşayan –yaşayabilen arap lider hatırlamıyorum açıkcası. 4 kolluya biner mi yoksa sığınmacı alabilecek devlet çıkar mı ?,0
1420689272017985543,"türkiye de yerli vatandaşın birşey dediği yok ama göçmen göçmeni beğenmiyor. ulan sen kendin göçmensin suriyeli gitsin diyorsun,birileride sana mekadonyaya gitsin demez mi zübük.",1
1426104234517348355,"@@user @@user @@user koskoca avrupa birliğinde kac ülke var ,totalde 2 milyon almış. o da en zengininizi en mevkii sahibinizi aldi. türkiye de en az 10 milyon suriyeli var ! çoğu kacak.",0
1284621182889799680,@@user suriyeli yerine uygur türklerini alsak memlekete sevabı yeterdi bize ama biz bop a eşbaşkan olduk mayınları temizledik sürüler ülkemize dolsun diye,0
1243637998765445120,@@user rabbim bizleri sokaklardan ve corona 'dan sakınsın. biz mecbur kaldığımız için işlerimize gitmek zorundayız. sokağa çıkma yasağı ilan etmesini temenni ediyoruz. suriyeliler için harcanan paralar kadar değerimiz var diyebiliriz. devletimizin arkasındayız.,0
1420309944201584642,@@user aynen kendi ülkemizde kendi vatandaşımız işsiz aşsız gelen suriyeliler heryerde calışıyor kendi vatandaşımıza iş yok,0
1430042599977627666,"hiç alışık olmadığımız “ümmet milletten önce gelir” zihniyeti, sınırlarımızı milyonlarca kim olduğunu bilmediğimiz sığınmacı denen güruha kontrolsüzce açtı. kendi tabanından bile tepki alınca, şimdi tornistan yapmaya uğraşıyor. ağır toplumsal fatura ödenecek maalesef.",0
1235866849641816065,"@@user suriyeli kardeşlerimiz i mi bunlar mı, göçmen olarak alacak,, ab rusya abd katil bunlar türkiye cumhuriyet i düşmanı olanları göçmen alırlar",0
1325449361845870592,"""komşunu (ötekini) kendin gibi sevmek mi istiyorsun? öyleyse malını onunla bölüş."" aziz augustinus eğer din kardeşliği salt soyut bir değer olsaydı, peygamber, ensar ve muhacirleri kardeş kılmakla yetinir, mallarını yarı yarıya bölüştürmezdi.",0
1420832605012905985,"afgan mültecileri konuşurken ormanlar yanmaya başladı. bu işin arkasında pkk yaktı denilerek kürt - türk çatışmasına ortam hazırlandı. ortalık buram buram provakasyon kokmaya da başladı. yetkililer mi? mültecilerin geçişini, ormanın yanışını ve provakasyonu izlemekle meşguller!",0
1392474666602749954,sokaklara dökülenlerin içinde bi tane türk yoktu. haberiniz olsun. fotoları yakından inceleyin. hepsi ordn burdan getirtilen sığınmacı.,0
1367848588869443587,@@user laikliği savunan herkesi tekfir ediyorlar. şu an hapishanelerde 2.100 suriyeli mevcut. çoğu smo'cu.,0
1425756003639889922,@@user @@user türk sıgınmacı değil suriyeliler sıgınmacı misafir olduğun yerde çocuk bıçaklayamazsın gider şikayet edersin kolluk kuvvetlerine,0
1326381201549127680,@@user @@user @@user @@user sahillerde ölen masum suriyelilerin katili kim. bizim ülkemizde sefil halde dolaşan suriye linin sebebi kim. noldu olan orada ölen askere ve yakınlarına oldu. kazanan kimm mahallenin kabadayısı. i̇şte o en başında savaşa hayır diye tokadı bassa idi halk o insanlar ölmeyecekti.,0
1425074394657865730,"@@user yani hocam, sen şimdi 50 kişilik kamuflajlı afgan sığınmacının bulunduğu bir sahil şeridine, eşinle ve kızınla gidebilir, bir dondurma yiyip hoş zaman geçirebilir misin? tamam mısın buna? bunu merak ediyorum.",0
1382488838665334785,"danimarka hükümeti, suriye'de iç savaşın bittiğini öne sürerek suriyelilerin oturma izinlerini iptal etti.",0
1420851802426290176,@@user @@user @@user @@user @@user aynı babadan olma aynı anadan olmasınız yani kardeşin senin.bak suriyelilere kardeşim diyende sensin afgana diyende sensjn.benim tek kardrşim türk milletidir.senjn gibi feto pkk tohumlari degil.yarin bie gun yine acilim yaparsiniz apoya övguler duzersin lan bedevi,1
1291270324856791041,"@@user @@user i̇ktidarın hatalı dış politikaların cezasını bütün millet çekiyor,şimdi kıvırsanız ne fayda? pkk’nın siyasi yapılanmasına zemini suriye’nin bölünmesine hizmet ederek siz hazırladınız, ülkemizde suriyeli doldu taştı , yazıklar olsun.",0
1290954422412087297,"@@user @@user @@user i̇nsanı boyuta bakacaksanız önce kendi vatandaşlarınızın karnı doyacak. ülke sefaletten kırılıyor, bize mi kalmış habire doğuran suriyelileri beslemek? suriyeliler de kardeşimiz falan değildir, türk’ün kardeşi türk’tür!",1
1418294566114009089,"@@user @@user @@user @@user @@user entegrasyon sistemi eğitimli ve kişilikli insanlarla olur, suriyeli bütün eğitimli ve kültürlü insanlar zaten avrupaya gitti türkiyede kalan suriyede bir baltaya sap olmamış habire çocuk sayısını yükseltip sonrada sürü halinde benim ülkeme gelmişlerdir, o yüzde entegre olamazlr",1
1233809647250870272,8. suriyeliler ile neden sadece yollara düştüklerinde konuşuyorsunuz? düzenli yazı dizileri yapmıyor ve ne istediklerini sormuyorsunuz?,0
1420371061410082816,@@user @@user benim vergim benim milletim için iktidarın seçim oyunları için değil suriyelilerin üniversite durumlarını inceleyin benim türk gencim kendi vatanın da aynı şartlara neden sahip değil işverenin işine geliyor bedava çalıştırıyor türk vatandaşı da işsizlikten intihar ediyor,0
1288904448480346112,@@user @@user @@user @@user bizde alabiliriz fakat örnek olarak almanya gibi bir ulkenin uyguladigi sistemle.ayrica entegrasyonun kolay olmasi sebebiyle avrupa ulkeleri sadece cocuklari multeci statusunde kabul etme yoluna gidiyorlar.ya da maddi gucu yerinde ve okumuş entellellektüelleri maalesef.,0
1418817383687413773,"@@user @@user peki dünyada sadece korona, terörizm, mülteci ve yolsuzluklar ülkemizde hâkim, bir de sel deprem ... öteki her şeye herkes kapalı... kısacası neden dünyada hatra pakistan ve lübnanda bile esrar, bizde olmayan korona yayılıyor? bize de ayhanlar vb sůriyeliler, pkk nasıl kayboldu?",0
1388899242543042560,"@@user birilerini hedef göstermek acizliktir, suriyeliler üzerinden yalan beyanda bulunmak, aslı astarı olmayanları olmuş gibi göstermek, ırkçılıktır, kuru kabalıktır. doğruyu haber yapmak güzeldir, doğruysa kaynağını bildirmek kimseyi incitmez.",0
